"Number batches", "Number concurrent flow invocations", "Total number flow invocations", "Number successful flow invocations + executions", "% successful flow invocations + executions", "Number successful flow invocations failed executions", "% successful flow invocations failed executions", "Average flow roundtrip time (ms)"
10, 1, 10, 10, 100, 0, 0, 3620.8
10, 2, 20, 20, 100, 0, 0, 3721.9
10, 3, 30, 30, 100, 0, 0, 3434.266666666667
10, 4, 40, 39, 97.5, 1, 2.5, 3981.2
10, 5, 50, 50, 100, 0, 0, 4536.1
10, 6, 60, 60, 100, 0, 0, 4503.466666666666
10, 7, 70, 67, 95.71428571428571, 3, 4.285714285714286, 4846.714285714285
10, 8, 80, 61, 76.25, 19, 23.75, 4906.1375
10, 9, 90, 65, 72.22222222222223, 23, 25.555555555555557, 5276.488888888889
10, 10, 100, 74, 74, 22, 22, 5569.1
10, 11, 110, 76, 69.0909090909091, 28, 25.454545454545453, 4653.872727272727
10, 12, 120, 67, 55.833333333333336, 38, 31.666666666666668, 4793.966666666666
10, 13, 130, 61, 46.92307692307692, 36, 27.692307692307693, 3690.8846153846152
10, 14, 140, 65, 46.42857142857143, 37, 26.428571428571427, 3795.0142857142855
10, 15, 150, 53, 35.333333333333336, 45, 30, 2883.733333333333
10, 16, 160, 77, 48.125, 32, 20, 3926.7625
10, 17, 170, 60, 35.294117647058826, 42, 24.705882352941178, 2834.3411764705884
10, 18, 180, 47, 26.11111111111111, 31, 17.22222222222222, 2012.6722222222222
10, 19, 190, 57, 30, 33, 17.36842105263158, 2209.157894736842
10, 20, 200, 66, 33, 34, 17, 3030.195
10, 21, 210, 65, 30.952380952380953, 45, 21.428571428571427, 3129.804761904762
10, 22, 220, 43, 19.545454545454547, 37, 16.818181818181817, 1533.990909090909
10, 23, 230, 37, 16.08695652173913, 36, 15.652173913043478, 1254.7521739130434
10, 24, 240, 43, 17.916666666666668, 33, 13.75, 1250.0291666666667
10, 25, 250, 46, 18.4, 25, 10, 1378.224
10, 1, 10, 10, 100, 0, 0, 573.5
10, 2, 20, 20, 100, 0, 0, 598.65
10, 3, 30, 30, 100, 0, 0, 601.0333333333333
10, 4, 40, 40, 100, 0, 0, 591.725
10, 5, 50, 50, 100, 0, 0, 660.36
10, 6, 60, 60, 100, 0, 0, 915.0666666666667
10, 7, 70, 70, 100, 0, 0, 1128.6142857142856
10, 8, 80, 80, 100, 0, 0, 1286.225
10, 9, 90, 90, 100, 0, 0, 854.7222222222222
10, 10, 100, 100, 100, 0, 0, 678.97
10, 11, 110, 110, 100, 0, 0, 1738.2363636363636
10, 12, 120, 120, 100, 0, 0, 1797.0916666666667
10, 13, 130, 130, 100, 0, 0, 1256.1153846153845
10, 14, 140, 140, 100, 0, 0, 2018.5285714285715
10, 15, 150, 150, 100, 0, 0, 1671.08
10, 16, 160, 160, 100, 0, 0, 1414.2375
10, 17, 170, 170, 100, 0, 0, 2630.005882352941
10, 18, 180, 180, 100, 0, 0, 3262.8944444444446
10, 19, 190, 190, 100, 0, 0, 1574.5894736842106
10, 20, 200, 200, 100, 0, 0, 2714.235
10, 21, 210, 210, 100, 0, 0, 3436.447619047619
10, 22, 220, 220, 100, 0, 0, 3116.240909090909
10, 23, 230, 230, 100, 0, 0, 4268.252173913043
10, 24, 240, 240, 100, 0, 0, 2611.983333333333
10, 25, 250, 250, 100, 0, 0, 3160.992
