"Number batches", "Number concurrent flow invocations", "Total number flow invocations", "Number successful flow invocations + executions", "% successful flow invocations + executions", "Number successful flow invocations failed executions", "% successful flow invocations failed executions", "Average flow roundtrip time (ms)"
10, 1, 10, 10, 100, 0, 0, 3256.4
10, 2, 20, 20, 100, 0, 0, 4020.85
10, 3, 30, 30, 100, 0, 0, 4344.633333333333
10, 4, 40, 40, 100, 0, 0, 5569.025
10, 5, 50, 50, 100, 0, 0, 6217.7
10, 6, 60, 59, 98.33333333333333, 1, 1.6666666666666667, 6946.383333333333
10, 7, 70, 70, 100, 0, 0, 8157.214285714285
10, 8, 80, 79, 98.75, 1, 1.25, 8338.9625
10, 9, 90, 85, 94.44444444444444, 5, 5.555555555555555, 9171.933333333332
10, 10, 100, 94, 94, 6, 6, 10954.79
10, 11, 110, 104, 94.54545454545455, 6, 5.454545454545454, 10724.736363636364
10, 12, 120, 115, 95.83333333333333, 3, 2.5, 11548.891666666666
10, 13, 130, 125, 96.15384615384616, 5, 3.8461538461538463, 12612.815384615385
10, 14, 140, 131, 93.57142857142857, 7, 5, 13216.235714285714
10, 15, 150, 132, 88, 15, 10, 13609.34
10, 16, 160, 142, 88.75, 11, 6.875, 13694.05625
10, 17, 170, 144, 84.70588235294117, 20, 11.764705882352942, 15250.376470588235
10, 18, 180, 161, 89.44444444444444, 12, 6.666666666666667, 15710.538888888888
10, 19, 190, 147, 77.36842105263158, 19, 10, 14442.157894736842
10, 20, 200, 136, 68, 25, 12.5, 13305
10, 21, 210, 164, 78.0952380952381, 24, 11.428571428571429, 15884.566666666668
10, 22, 220, 145, 65.9090909090909, 23, 10.454545454545455, 14585.081818181818
10, 23, 230, 71, 30.869565217391305, 21, 9.130434782608695, 5853.656521739131
10, 24, 240, 40, 16.666666666666668, 30, 12.5, 6144.6875
10, 25, 250, 87, 34.8, 71, 28.4, 11615.232
